"movieId","month_idx","source","tstamp"
1,0,1,"2023-02-27 19:30:03"
1,1,1,"2023-04-01 00:01:47"
1,2,1,"2023-05-01 00:02:01"
1,3,1,"2023-06-01 00:01:40"
1,4,1,"2023-07-01 00:01:56"
1,5,1,"2023-08-01 00:01:40"
2,0,1,"2023-02-27 19:30:03"
2,1,1,"2023-04-01 00:01:47"
2,2,1,"2023-05-01 00:02:01"
2,3,1,"2023-06-01 00:01:40"
2,4,1,"2023-07-01 00:01:56"
2,5,1,"2023-08-01 00:01:40"
3,0,1,"2023-02-27 19:30:03"
3,1,1,"2023-04-01 00:01:47"
3,2,1,"2023-05-01 00:02:01"
3,3,1,"2023-06-01 00:01:40"
3,4,4,"2023-07-01 00:01:56"
3,5,1,"2023-08-01 00:01:40"
4,0,1,"2023-02-27 19:30:03"
4,1,1,"2023-04-01 00:01:47"
4,2,1,"2023-05-01 00:02:01"
4,3,1,"2023-06-01 00:01:40"
5,0,1,"2023-02-27 19:30:03"
5,1,1,"2023-04-01 00:01:47"
5,2,1,"2023-05-01 00:02:01"
5,3,1,"2023-06-01 00:01:40"
5,5,4,"2023-08-01 00:01:40"
6,0,1,"2023-02-27 19:30:03"
6,1,1,"2023-04-01 00:01:47"
6,2,1,"2023-05-01 00:02:01"
6,3,1,"2023-06-01 00:01:40"
6,4,1,"2023-07-01 00:01:56"
6,5,1,"2023-08-01 00:01:40"
7,0,1,"2023-02-27 19:30:03"
7,1,1,"2023-04-01 00:01:47"
7,2,1,"2023-05-01 00:02:01"
7,3,1,"2023-06-01 00:01:40"
7,4,4,"2023-07-01 00:01:56"
7,5,1,"2023-08-01 00:01:40"
8,0,1,"2023-02-27 19:30:03"
8,1,4,"2023-04-01 00:01:47"
8,2,1,"2023-05-01 00:02:01"
8,3,1,"2023-06-01 00:01:40"
9,0,1,"2023-02-27 19:30:03"
9,1,1,"2023-04-01 00:01:47"
9,2,1,"2023-05-01 00:02:01"
9,3,1,"2023-06-01 00:01:40"
10,0,1,"2023-02-27 19:30:03"
10,1,1,"2023-04-01 00:01:47"
