Module,Learning Outcomes,Key Activities
Module 0: Program Orientation,,"
• Program Introduction
• Learning Platform Overview
• Introduce Yourself
• Program Agreement"
Module 1: Introduction to Machine Learning,"
• Identify examples of the mystery box metaphor within your industry or personal experience.
• Establish the correct ML notation and concepts.
• Determine measures of discrete vs. continuous probability functions.
• Distinguish between measures of central tendency.
• Search for two data sources online and examine their characteristics.
• Identify functions and codes related to DataFrames.
• Load data into a DataFrame using pandas.
• Analyze data using selection and statistical techniques.
• Analyze different data visualization techniques.
• Create histograms and data visualizations.","
• Videos 1.1–1.6
• Mini-Lessons 1.1–1.5
• Required Knowledge Checks 1.1–1.6
• Required Discussions 1.1–1.3
• Required Codio Activities 1.1–1.3
• Self-Study Try-It Activities 1.1 and 1.2
• Self-Study Colab Activity 1.1"
Module 2: Fundamentals of Statistics and Distribution Functions,"
• Differentiate between normal and uniform distributions.
• Evaluate measures of uniform distribution using SciPy.
• Create and interpret visual plots, including probability density functions, histograms, scatter plots, pair plots, and correlation matrices.
• Discuss applications of the central limit theorem.
• Compute the mean and variance of univariate Gaussian distributions.
• Apply the law of large numbers to a given population.
• Explain covariance and correlation in multivariate distributions.
• Plot multivariate datasets.
• Compute measures of central tendency for univariate and multivariate distributions using pandas.
• Interpret a sample covariance matrix using Python.
• Identify correlations from scatter plots and conditional probabilities.","
• Videos 2.1–2.6
• Mini-Lessons 2.1–2.3
• Required Knowledge Checks 2.1–1.5
• Required Codio Assignments 2.1–2.4
• Self-Study Discussion 2.1
• Self-Study Try-It Activities 2.1 and 2.2
• Self-Study Colab Activities 2.1–2.4"
Module 3: Introduction to Data Analysis,"
• Discuss real-world contexts for the data science lifecycle.
• Demonstrate the uses of different pandas functions.
• Manipulate data given a dataset.
• Choose appropriate visualizing functions.
• Generate visualizations using pandas, seaborn, and Plotly.
• Customize plots using externally sourced documentation.
• Use pandas.groupby to manipulate data.
• Demonstrate sorting and aggregating operations using pandas.
• Perform computations between DataFrames using set index and reset index.
• Demonstrate different indexing and filtering techniques using pandas.","
• Videos 3.1–3.10
• Mini-Lessons 3.1–3.2
• Required Knowledge Checks 3.1–3.4
• Required Discussion 3.1
• Required Codio Assignments 3.1–3.4
• Self-Study Try-It Activity 3.1
• Self-Study Colab Activities 3.1–3.3"
Module 4: Fundamentals of Data Analysis,"
• Demonstrate pandas.merge to join datasets.
• Use pandas.merge to join with multiple fields using multiple variables in pandas.
• Perform merge operations on datasets.
• Use different plotting techniques in Seaborn and Plotly with pandas DataFrame to visualize the data.
• Create a variety of plot types in pandas, Seaborn, and Plotly.
• Discuss the advantages and disadvantages of each plotting library.
• Perform string manipulation in pandas.
• Import and clean messy data from real-world datasets.","
• Videos 4.1–4.11
• Mini-Lessons 4.1–4.4
• Required Knowledge Checks 4.1–4.5
• Required Codio Assignments 4.1–4.3
• Self-Study Colab Activities 4.1-4.5"
Module 5: Practical Application 1,"
• Create a GitHub portfolio.
• Apply exploratory data analysis, plotting, statistical summarization, and data visualization skills and techniques to a machine learning problem.","
• Video 5.1
• Required Assignment 5.1
• Self-Study Try-It Activity 5.1
• Self-Study Discussion 5.1"
Module 6: Data Clustering and Principal Component Analysis (PCA),"
• Apply SVD to a specific dataset.
• Analyze the results of PCA in a specific context.
• Interpret the singular value and the results of PCA.
• Apply the k-means algorithm in Python.
• Compare the two different ways of initializing centroids (k-means++ vs. random initialization).
• Compare results of multiple clustering techniques on a given dataset.
• Interpret the results of k-means and PCA given an initial dataset.
• Evaluate various clustering algorithms by examining the clustering shapes and their ability to detect outliers in a given dataset.
• Draft a problem statement.","
• Videos 6.1–6.8
• Mini-Lessons 6.1–6.4
• Required Knowledge Checks 6.1–6.5
• Required Codio Assignments 6.1–6.4
• Self-Study Colab Activities 6.1 and 6.2"
Module 7: Linear and Multiple Regressions,"
• Differentiate between a linear and nonlinear model.
• Fit a simple linear regression model using scikit-learn and Plotly.
• Compute loss in prediction in order to minimize it.
• Compute the squared error and absolute error.
• Apply the scipy.optimize function to minimize the loss function.
• Apply multiple techniques to minimize a loss function.
• Recognize the use of mean absolute error (MAE) and mean squared error (MSE).
• Predict outcomes using a multiple linear regression model.
• Recognize ordinal, nominal, and categorical data within a dataset.","
• Videos 7.1–7.12
• Mini-Lessons 7.1–7.3
• Required Knowledge Checks 7.1–7.7
• Required Codio Assignments 7.1–7.4
• Self-Study Colab Activities 7.1–7.2"
Module 8: Feature Engineering and Overfitting,"
• Articulate model fitting for nonlinear features.
• Generate nonlinear features for use by a linear model.
• Describe the difference between inference and prediction.
• Use scikit-learn transformers for generating polynomial features and prediction.
• Demonstrate the uses of different pandas functions.
• Articulate the definitions and relationships yielded from overfitting.
• Analyze the relationship between generalization and overfitting.
• Evaluate the complexity of various pipeline models.
• Select the best model based on validation data.
• Use a validation set for model selection to avoid overfitting.
• Use a test set for final model evaluation.
• Create and evaluate a linear regression model with nonlinear features using scikit-learn.","
• Videos 8.1–8.10
• Mini-Lessons 8.1–8.5
• Required Knowledge Checks 8.1–8.7
• Required Codio Assignments 8.1–8.3
• Self-Study Colab Activities 8.1–8.4"
Module 9: Model Selection and Regularization,"
• Identify the effect of polynomial features on Multidimensional data.
• Utilize sequential feature selection to explore model complexity.
• Apply regularization to control model complexity.
• Use regularization parameter ""alpha"" in ridge regression.
• Employ StandardScalar in ridge regularization.
• Scale data using standardization to avoid over-penalizing features in a regularized model.
• Apply GridSearchCV to select the optimal value for alpha.
• Select features using Lasso regression.
• Evaluate the differences between leave-one-out cross-validation, K-fold cross-validation, and holdout cross-validation.","
• Videos 9.1–9.11
• Required Knowledge Checks 9.1–9.8
• Required Codio Assignments 9.1–9.4
• Self-Study Colab Activities 9.1–9.3
• Self-Study Try-It Activity 9.1
• Self-Study Discussion 9.1"
